player_id,position_matches,matches_matches,wins_matches,losses_matches,wl_ratio_matches,ties_matches,kills_matches,deaths_matches,killstreak_matches,damage_dealt_matches,arrows_shot_matches,arrows_hit_matches,wools_matches,wools_touched_matches,flags_matches,flags_picked_matches,cores_matches,monuments_matches,position_pvp,matches_pvp,wins_pvp,losses_pvp,wl_ratio_pvp,ties_pvp,kills_pvp,deaths_pvp,killstreak_pvp,damage_dealt_pvp,arrows_shot_pvp,arrows_hit_pvp,wools_pvp,wools_touched_pvp,flags_pvp,flags_picked_pvp,cores_pvp,monuments_pvp,position_objectives,matches_objectives,wins_objectives,losses_objectives,wl_ratio_objectives,ties_objectives,kills_objectives,deaths_objectives,killstreak_objectives,damage_dealt_objectives,arrows_shot_objectives,arrows_hit_objectives,wools_objectives,wools_touched_objectives,flags_objectives,flags_picked_objectives,cores_objectives,monuments_objectives
player_2ae64ee7a565,#52,9071.0,4747.0,4322.0,1.1,2.0,,,,,,,,,,,,,#82,,,,,,42267.0,39995.0,161.0,70.0,222977.0,84408.0,,,,,,,#9,,,,,,,,,,,,1621.0,5167.0,97.0,280.0,298.0,1027.0
player_f84c88090b0d,#53,8994.0,4929.0,4060.0,1.21,5.0,,,,,,,,,,,,,#14,,,,,,78357.0,43925.0,42.0,110.0,309915.0,165260.0,,,,,,,#42,,,,,,,,,,,,676.0,2200.0,257.0,722.0,182.0,734.0
player_cba378d6bd73,#54,8966.0,3857.0,5098.0,0.76,11.0,,,,,,,,,,,,,#77,,,,,,43523.0,51958.0,65.0,47.0,148103.0,41472.0,,,,,,,#179,,,,,,,,,,,,242.0,798.0,311.0,738.0,137.0,523.0
player_98ca67bee2f0,#55,8826.0,3656.0,5170.0,0.71,0.0,,,,,,,,,,,,,#310,,,,,,15992.0,42144.0,45.0,22.5,173885.0,82297.0,,,,,,,#795,,,,,,,,,,,,41.0,488.0,32.0,105.0,10.0,152.0
player_699fa339a3ce,#56,8825.0,3931.0,4882.0,0.81,12.0,,,,,,,,,,,,,#147,,,,,,29742.0,59274.0,75.0,38.0,82311.0,38340.0,,,,,,,#170,,,,,,,,,,,,262.0,942.0,620.0,1406.0,102.0,253.0
player_fed1c73c2693,#57,8709.0,3613.0,5096.0,0.71,0.0,,,,,,,,,,,,,#73,,,,,,44300.0,57693.0,42.0,69.0,161779.0,66107.0,,,,,,,#281,,,,,,,,,,,,152.0,624.0,182.0,611.0,7.0,65.0
player_4733ed2c49b3,#58,8696.0,5204.0,3491.0,1.49,1.0,,,,,,,,,,,,,#25,,,,,,65633.0,57539.0,60.0,120.0,307561.0,150837.0,,,,,,,#30,,,,,,,,,,,,761.0,2714.0,236.0,785.0,245.0,666.0
player_ea0d8e5c355d,#59,8662.0,3982.0,4680.0,0.85,0.0,,,,,,,,,,,,,#467,,,,,,11002.0,55164.0,8.0,13.5,46272.0,16924.0,,,,,,,#138,,,,,,,,,,,,305.0,1373.0,130.0,505.0,117.0,644.0
player_f0ce89b6e70a,#60,8571.0,4259.0,4306.0,0.99,6.0,,,,,,,,,,,,,#40,,,,,,55005.0,3754.0,231.0,66.0,313441.0,96289.0,,,,,,,#156,,,,,,,,,,,,282.0,835.0,1.0,5.0,56.0,91.0
player_4d41842e0785,#61,8559.0,3332.0,5224.0,0.64,3.0,,,,,,,,,,,,,#1289,,,,,,3672.0,29049.0,21.0,8.0,69268.0,22099.0,,,,,,,#1255,,,,,,,,,,,,20.0,108.0,35.0,179.0,1.0,21.0
player_b7516b6bacf6,#62,8483.0,4344.0,4136.0,1.05,3.0,,,,,,,,,,,,,#103,,,,,,36012.0,44538.0,74.0,43.5,90119.0,50336.0,,,,,,,#18,,,,,,,,,,,,942.0,2730.0,415.0,1185.0,179.0,578.0
player_019512806e09,#63,8435.0,3496.0,4938.0,0.71,1.0,,,,,,,,,,,,,#283,,,,,,17111.0,41990.0,6.0,-54.5,6810.0,82893.0,,,,,,,#25,,,,,,,,,,,,807.0,2596.0,917.0,2011.0,257.0,513.0
player_13c66040db43,#64,8387.0,4671.0,3713.0,1.26,3.0,,,,,,,,,,,,,#29,,,,,,62372.0,43491.0,72.0,265.0,342139.0,152038.0,,,,,,,#113,,,,,,,,,,,,364.0,1915.0,87.0,316.0,119.0,588.0
player_517b6244db64,#65,8163.0,3937.0,4222.0,0.93,4.0,,,,,,,,,,,,,#122,,,,,,33338.0,34182.0,44.0,62.5,198683.0,90721.0,,,,,,,#200,,,,,,,,,,,,225.0,906.0,147.0,562.0,96.0,699.0
player_8e76f1d12f2e,#66,8110.0,4800.0,3309.0,1.45,1.0,,,,,,,,,,,,,#28,,,,,,64526.0,28346.0,61.0,93.0,442189.0,153470.0,,,,,,,#177,,,,,,,,,,,,245.0,1604.0,98.0,256.0,37.0,284.0
player_c72afe476022,#67,8018.0,3874.0,4135.0,0.94,9.0,,,,,,,,,,,,,#384,,,,,,13520.0,29866.0,36.0,24.5,108848.0,30881.0,,,,,,,#319,,,,,,,,,,,,134.0,902.0,238.0,785.0,57.0,326.0
player_c45aeebcefeb,#68,7956.0,3312.0,4643.0,0.71,1.0,,,,,,,,,,,,,#233,,,,,,20804.0,35233.0,33.0,30.0,166746.0,109204.0,,,,,,,#288,,,,,,,,,,,,148.0,996.0,56.0,282.0,22.0,124.0
player_75644b2c39d5,#69,7948.0,4276.0,3659.0,1.17,13.0,,,,,,,,,,,,,#17,,,,,,77168.0,31240.0,143.0,96.5,203315.0,72375.0,,,,,,,#60,,,,,,,,,,,,558.0,1440.0,266.0,597.0,170.0,371.0
player_24ec5acde70b,#70,7915.0,3668.0,4245.0,0.86,2.0,,,,,,,,,,,,,#211,,,,,,22181.0,39683.0,50.0,34.0,76692.0,21702.0,,,,,,,#71,,,,,,,,,,,,515.0,1848.0,326.0,840.0,242.0,693.0
player_8d876ad6cbb6,#71,7799.0,4519.0,3280.0,1.38,0.0,,,,,,,,,,,,,#15,,,,,,78038.0,28352.0,55.0,112.0,234311.0,107222.0,,,,,,,#14,,,,,,,,,,,,1238.0,3082.0,292.0,522.0,79.0,453.0
player_21f68447b62c,#72,7772.0,3888.0,3883.0,1.0,1.0,,,,,,,,,,,,,#170,,,,,,26492.0,27633.0,29.0,38.5,166317.0,66364.0,,,,,,,#224,,,,,,,,,,,,194.0,928.0,157.0,559.0,36.0,144.0
player_f2002935321e,#73,7739.0,4501.0,3220.0,1.4,18.0,,,,,,,,,,,,,#118,,,,,,33945.0,36430.0,77.0,51.5,94591.0,26351.0,,,,,,,#32,,,,,,,,,,,,753.0,1875.0,884.0,1799.0,153.0,562.0
player_b15634e1cc31,#74,7664.0,4578.0,3084.0,1.48,2.0,,,,,,,,,,,,,#12,,,,,,86499.0,50664.0,109.0,119.5,122419.0,79531.0,,,,,,,#28,,,,,,,,,,,,782.0,1905.0,773.0,1591.0,117.0,538.0
player_bf044b2f43df,#75,7647.0,3570.0,4072.0,0.88,5.0,,,,,,,,,,,,,#88,,,,,,38993.0,57549.0,27.0,64.5,311319.0,125483.0,,,,,,,#114,,,,,,,,,,,,364.0,1145.0,860.0,2196.0,91.0,273.0
player_936779381725,#76,7613.0,3115.0,4497.0,0.69,1.0,,,,,,,,,,,,,#195,,,,,,24404.0,27856.0,24.0,42.0,122806.0,70290.0,,,,,,,#322,,,,,,,,,,,,133.0,557.0,20.0,72.0,12.0,135.0
player_58da6dc492bc,#77,7581.0,3839.0,3738.0,1.03,4.0,,,,,,,,,,,,,#43,,,,,,53917.0,43997.0,60.0,56.5,149940.0,96449.0,,,,,,,#35,,,,,,,,,,,,722.0,1853.0,405.0,1057.0,121.0,471.0
player_f06ff8d92938,#78,7497.0,3392.0,4103.0,0.83,2.0,,,,,,,,,,,,,#32,,,,,,61066.0,59381.0,65.0,104.5,261239.0,111582.0,,,,,,,#147,,,,,,,,,,,,293.0,1073.0,245.0,693.0,52.0,211.0
player_222c9121a851,#79,7465.0,3861.0,3598.0,1.07,6.0,,,,,,,,,,,,,#143,,,,,,30164.0,5114.0,110.0,51.5,256253.0,95708.0,,,,,,,#183,,,,,,,,,,,,237.0,646.0,39.0,102.0,64.0,94.0
player_ca176e4b7d66,#80,7387.0,3427.0,3957.0,0.87,3.0,,,,,,,,,,,,,#116,,,,,,34193.0,36462.0,41.0,62.5,182908.0,85248.0,,,,,,,#372,,,,,,,,,,,,111.0,589.0,97.0,436.0,24.0,84.0
player_409a665ad5ec,#81,7371.0,3229.0,4137.0,0.78,5.0,,,,,,,,,,,,,#217,,,,,,21702.0,37305.0,16.0,45.0,41369.0,12963.0,,,,,,,#154,,,,,,,,,,,,283.0,1148.0,330.0,839.0,40.0,348.0
player_fcdfd994de3b,#82,7325.0,4004.0,3306.0,1.21,15.0,,,,,,,,,,,,,#34,,,,,,59735.0,37554.0,40.0,133.0,144465.0,64103.0,,,,,,,#22,,,,,,,,,,,,848.0,2052.0,708.0,1693.0,103.0,512.0
player_cb962300c11a,#83,7311.0,3512.0,3799.0,0.92,0.0,,,,,,,,,,,,,#113,,,,,,34340.0,48942.0,16.0,70.0,317513.0,106868.0,,,,,,,#111,,,,,,,,,,,,368.0,1696.0,111.0,463.0,38.0,269.0
player_16d4f71a7e71,#84,7280.0,4392.0,2888.0,1.52,0.0,,,,,,,,,,,,,#10,,,,,,94029.0,43328.0,69.0,149.5,315896.0,109694.0,,,,,,,#157,,,,,,,,,,,,280.0,1384.0,47.0,166.0,45.0,382.0
